Id_comanda,Niu_client,Niu_repartidor,Facultad_destino,Facultat_Origen,Precio,Tipo,Articulo,fecha_inicio,fecha_entrega,Estado
0,1,2,comunicacion,traduccion,7.15,Comida,Pollo a la parrilla,2023-02-19 14:54:19,2023-02-19 15:35:24,finalizado
1,1,2,biociencias,ciencias,3.04,Tienda,Caja de herramientas,2023-05-22 00:19:46,2023-05-22 05:05:08,activo
2,1,2,biociencias,comunicacion,11.5,Comida,Empanadas,2023-01-29 20:08:47,2023-01-29 20:28:29,activo
3,1,2,ciencias,traduccion,9.94,Comida,Tortilla española,2023-02-06 11:10:30,2023-02-06 15:02:25,finalizado
4,1,2,biociencias,biociencias,7.48,Tienda,Memoria USB,2023-01-04 17:55:46,2023-01-04 18:07:03,activo
5,1,2,medicina,doctorado,0.0,Biblioteca,Guía,2023-04-19 16:53:42,2023-04-19 17:08:03,activo
6,1,2,comunicacion,biociencias,0.0,Biblioteca,Artículo académico,2023-03-10 14:48:12,2023-03-10 17:56:24,activo
7,1,2,ciencias politicas,psicologia,12.78,Comida,Tacos,2023-10-31 14:43:20,2023-10-31 17:34:49,activo
8,1,2,psicologia,biociencias,7.01,Tienda,Botella de agua,2023-10-30 21:13:19,2023-10-31 08:17:25,finalizado
9,1,2,comunicacion,ciencias,0.0,Biblioteca,Guía,2023-10-28 04:32:44,2023-10-28 04:37:23,finalizado
10,1,2,traduccion,ingenieria,22.38,Comida,Pizza 4 quesos,2023-07-12 11:23:15,2023-07-12 12:03:20,finalizado
11,1,2,ciencias politicas,filosofia,8.35,Tienda,Auriculares inalámbricos,2023-05-09 17:51:46,2023-05-10 00:16:10,activo
12,1,2,doctorado,derecho,0.0,Biblioteca,Libro,2023-07-14 06:22:44,2023-07-14 06:28:44,finalizado
13,1,2,derecho,ciencias politicas,0.0,Biblioteca,Libro,2023-02-22 05:49:27,2023-02-22 06:26:19,finalizado
14,1,2,traduccion,derecho,13.12,Comida,Chili con carne,2023-06-01 08:52:11,2023-06-01 10:43:13,activo
15,1,2,comunicacion,derecho,7.27,Comida,Pasta carbonara,2023-04-07 10:35:27,2023-04-07 10:54:30,finalizado
16,1,2,traduccion,economia,3.8,Tienda,Teclado inalámbrico,2023-05-09 12:24:57,2023-05-09 16:19:27,activo
17,1,2,comunicacion,psicologia,10.35,Comida,Ramen,2023-11-10 00:42:18,2023-11-10 01:40:23,finalizado
18,1,2,traduccion,filosofia,1.6,Tienda,Bolsa térmica,2023-09-22 21:21:32,2023-09-22 21:28:28,activo
19,1,2,doctorado,veterinaria,23.26,Comida,Pollo a la parrilla,2023-05-08 21:38:34,2023-05-08 21:39:38,activo
20,1,2,traduccion,comunicacion,0.0,Biblioteca,Revista,2023-02-18 18:18:37,2023-02-18 21:17:07,activo
21,1,2,medicina,medicina,14.12,Comida,Sushi,2023-10-18 04:23:28,2023-10-18 04:59:02,finalizado
22,1,2,medicina,doctorado,19.27,Comida,Chili con carne,2023-11-14 07:21:42,2023-11-14 08:30:30,finalizado
23,1,2,ciencias,doctorado,0.0,Biblioteca,Artículo académico,2023-07-15 10:04:58,2023-07-15 10:52:35,finalizado
24,1,2,derecho,doctorado,0.0,Biblioteca,Enciclopedia,2023-08-14 06:26:47,2023-08-14 06:31:39,finalizado
25,1,2,comunicacion,traduccion,5.42,Comida,Pollo a la parrilla,2023-04-29 10:14:36,2023-04-29 10:36:34,activo
26,1,2,medicina,medicina,0.0,Biblioteca,Revista,2023-03-16 22:12:44,2023-03-17 00:31:23,finalizado
27,1,2,economia,derecho,0.0,Biblioteca,Guía,2023-04-02 12:17:11,2023-04-02 13:28:39,finalizado
28,1,2,comunicacion,medicina,13.59,Comida,Calzone,2023-07-18 23:45:10,2023-07-19 00:26:27,finalizado
29,1,2,ciencias,psicologia,16.79,Comida,Sushi,2023-03-06 11:42:15,2023-03-06 12:06:18,activo
30,1,2,ciencias politicas,biociencias,0.0,Biblioteca,Artículo académico,2023-08-15 18:11:18,2023-08-15 22:36:26,espera
31,1,2,traduccion,biociencias,6.12,Tienda,Bolsa térmica,2023-01-01 01:33:10,2023-01-01 02:03:42,finalizado
32,1,2,ciencias politicas,filosofia,15.25,Comida,Pizza 4 quesos,2023-02-09 04:08:33,2023-02-09 07:42:05,activo
33,1,2,doctorado,filosofia,5.88,Tienda,Papel,2023-06-30 21:31:05,2023-07-01 02:09:22,activo
34,1,2,veterinaria,economia,0.0,Biblioteca,Artículo académico,2023-05-28 10:24:27,2023-05-28 13:36:59,finalizado
35,1,2,doctorado,veterinaria,19.77,Comida,Crepes,2023-01-16 00:27:23,2023-01-16 00:43:45,finalizado
36,1,2,ciencias,economia,11.06,Comida,Burritos,2023-02-26 03:28:40,2023-02-26 04:27:07,activo
37,1,2,derecho,medicina,19.39,Comida,Chili con carne,2023-11-21 18:08:19,2023-11-21 18:08:19,finalizado
38,1,2,medicina,biociencias,11.73,Comida,Poke bowl,2023-03-29 04:45:28,2023-03-29 08:26:05,finalizado
39,1,2,derecho,ciencias,0.0,Biblioteca,Artículo académico,2023-10-26 22:16:24,2023-10-26 22:40:20,activo
40,1,2,veterinaria,ciencias politicas,11.16,Comida,Ensalada de frutas,2023-10-18 20:37:13,2023-10-18 23:12:03,finalizado
41,1,2,medicina,filosofia,15.21,Comida,Bagel,2023-06-12 02:17:58,2023-06-12 03:13:30,espera
42,1,2,economia,doctorado,3.56,Tienda,Mochila,2023-03-15 02:40:07,2023-03-15 03:16:14,espera
43,1,2,veterinaria,derecho,12.79,Comida,Tarta de manzana,2023-10-28 03:06:54,2023-10-28 03:06:54,finalizado
44,1,2,comunicacion,filosofia,0.0,Biblioteca,Libro,2023-01-05 14:36:55,2023-01-05 14:59:35,finalizado
45,1,2,veterinaria,ciencias politicas,7.47,Tienda,Posits,2023-07-22 18:09:46,2023-07-22 22:43:33,finalizado
46,1,2,traduccion,filosofia,23.64,Comida,Burritos,2023-05-11 19:14:12,2023-05-11 19:39:42,finalizado
47,1,2,doctorado,economia,4.94,Tienda,Papel,2023-06-27 10:36:52,2023-06-27 12:54:42,activo
48,1,2,economia,ciencias,20.9,Comida,Pasta carbonara,2023-04-03 17:27:39,2023-04-03 17:53:30,activo
49,1,2,biociencias,medicina,5.61,Tienda,Caja de herramientas,2023-04-13 22:19:06,2023-04-14 03:53:23,espera
50,1,2,ingenieria,medicina,0.0,Biblioteca,Libro,2023-09-02 11:44:21,2023-09-02 16:33:28,finalizado
51,1,2,ingenieria,ciencias,21.93,Comida,Sopa de miso,2023-10-13 05:50:55,2023-10-13 06:42:16,finalizado
52,1,2,ciencias politicas,filosofia,6.99,Comida,Bagel,2023-01-26 04:01:51,2023-01-26 04:01:51,activo
53,1,2,doctorado,filosofia,9.4,Comida,Tortilla española,2023-03-30 05:28:07,2023-03-30 05:28:07,finalizado
54,1,2,medicina,derecho,14.41,Comida,Tortilla española,2023-02-18 05:07:49,2023-02-18 05:07:49,finalizado
55,1,2,ciencias politicas,filosofia,8.28,Comida,Ceviche,2023-09-13 16:36:11,2023-09-13 16:42:11,finalizado
56,1,2,doctorado,traduccion,5.73,Tienda,Bolsa térmica,2023-09-03 18:19:37,2023-09-04 01:25:34,finalizado
57,1,2,medicina,derecho,18.16,Comida,Paella,2023-11-23 05:30:52,2023-11-23 05:30:52,finalizado
58,1,2,ingenieria,ciencias,10.49,Comida,Tacos,2023-07-28 23:46:42,2023-07-29 00:13:58,activo
59,1,2,ciencias,derecho,0.0,Biblioteca,Artículo académico,2023-04-19 21:11:54,2023-04-19 21:17:18,finalizado
60,1,2,doctorado,psicologia,0.0,Biblioteca,Enciclopedia,2023-11-11 23:29:15,2023-11-12 02:55:50,finalizado
61,1,2,medicina,veterinaria,14.97,Comida,Tortilla española,2023-08-22 11:41:19,2023-08-22 13:12:29,finalizado
62,1,2,comunicacion,biociencias,20.43,Comida,Paella,2023-03-14 13:14:43,2023-03-14 13:33:42,finalizado
63,1,2,veterinaria,psicologia,16.49,Comida,Pollo al curry,2023-10-03 13:04:04,2023-10-03 13:50:55,finalizado
64,1,2,doctorado,ingenieria,5.38,Tienda,Auriculares inalámbricos,2023-07-06 09:39:08,2023-07-06 10:04:38,finalizado
65,1,2,biociencias,biociencias,0.0,Biblioteca,Artículo académico,2023-01-15 13:19:14,2023-01-15 17:51:57,activo
66,1,2,economia,economia,10.45,Comida,Ensalada de frutas,2023-01-15 10:59:34,2023-01-15 11:27:46,finalizado
67,1,2,filosofia,psicologia,6.65,Comida,Chili con carne,2023-06-09 17:35:24,2023-06-09 18:58:50,finalizado
68,1,2,ingenieria,veterinaria,18.77,Comida,Poke bowl,2023-02-03 22:45:50,2023-02-04 02:15:47,activo
69,1,2,ciencias,psicologia,5.66,Comida,Empanadas,2023-02-02 09:40:02,2023-02-02 11:35:54,activo
70,1,2,ingenieria,veterinaria,18.71,Comida,Tarta de manzana,2023-02-11 16:07:45,2023-02-11 16:12:10,finalizado
71,1,2,medicina,ciencias,0.0,Biblioteca,Guía,2023-02-07 13:07:00,2023-02-07 20:31:17,activo
72,1,2,comunicacion,filosofia,22.68,Comida,Albóndigas,2023-11-14 20:05:22,2023-11-14 21:35:21,finalizado
73,1,2,economia,doctorado,12.66,Comida,Albóndigas,2023-11-20 07:26:18,2023-11-20 07:39:10,finalizado
74,1,2,ciencias politicas,ingenieria,18.74,Comida,Ceviche,2023-03-09 02:04:04,2023-03-09 02:15:15,finalizado
75,1,2,psicologia,economia,11.82,Comida,Hot dog,2023-05-07 17:52:54,2023-05-07 18:51:59,activo
76,1,2,filosofia,traduccion,12.11,Comida,Tacos,2023-03-07 04:38:11,2023-03-07 04:50:36,finalizado
77,1,2,economia,medicina,10.01,Comida,Tacos,2023-11-18 19:24:33,2023-11-18 19:24:33,activo
78,1,2,medicina,medicina,0.0,Biblioteca,Revista,2023-05-13 13:07:01,2023-05-13 15:04:26,finalizado
79,1,2,derecho,biociencias,20.03,Comida,Crepes,2023-04-11 16:50:15,2023-04-11 18:32:12,finalizado
80,1,2,derecho,psicologia,18.74,Comida,Ramen,2023-07-14 01:15:06,2023-07-14 01:58:42,activo
81,1,2,biociencias,veterinaria,8.33,Tienda,Auriculares inalámbricos,2023-01-13 00:58:05,2023-01-13 05:14:44,finalizado
82,1,2,medicina,medicina,7.94,Comida,Chili con carne,2023-04-26 01:21:26,2023-04-26 01:32:20,activo
83,1,2,economia,comunicacion,14.08,Comida,Wrap de pollo,2023-07-30 18:45:42,2023-07-30 19:01:19,finalizado
84,1,2,derecho,filosofia,22.01,Comida,Tacos,2023-09-27 14:48:24,2023-09-27 16:40:22,finalizado
85,1,2,ciencias,traduccion,4.1,Tienda,Cámara web,2023-06-26 19:24:56,2023-06-26 20:54:53,finalizado
86,1,2,biociencias,ciencias,2.0,Tienda,Botella de agua,2023-04-17 11:03:56,2023-04-17 11:48:28,finalizado
87,1,2,economia,psicologia,24.16,Comida,Tostadas con aguacate,2023-04-12 03:06:22,2023-04-12 03:28:08,activo
88,1,2,medicina,ingenieria,4.38,Tienda,Estación de carga,2023-06-09 08:15:21,2023-06-09 11:56:37,finalizado
89,1,2,comunicacion,filosofia,0.0,Biblioteca,Guía,2023-03-02 07:40:11,2023-03-02 10:00:18,finalizado
90,1,2,derecho,ciencias politicas,23.31,Comida,Wrap de pollo,2023-11-16 20:59:03,2023-11-16 21:04:53,finalizado
91,1,2,comunicacion,biociencias,3.92,Tienda,Gafas de lectura,2023-08-15 18:09:08,2023-08-15 23:39:56,finalizado
92,1,2,traduccion,ciencias politicas,9.38,Comida,Fish and chips,2023-09-02 02:55:15,2023-09-02 02:59:44,activo
93,1,2,ingenieria,ingenieria,8.98,Tienda,Mochila,2023-09-25 13:52:15,2023-09-25 19:59:32,finalizado
94,1,2,comunicacion,derecho,0.0,Biblioteca,Artículo académico,2023-11-25 15:22:35,2023-11-25 19:33:46,finalizado
95,1,2,veterinaria,veterinaria,0.0,Biblioteca,Título de libro,2023-01-12 18:43:41,2023-01-12 21:40:41,espera
96,1,2,doctorado,ciencias,0.0,Biblioteca,Libro,2023-01-02 15:11:26,2023-01-02 17:41:38,finalizado
97,1,2,doctorado,filosofia,13.76,Comida,Poke bowl,2023-04-28 22:25:44,2023-04-29 01:11:56,finalizado
98,1,2,derecho,comunicacion,0.0,Biblioteca,Título de libro,2023-02-10 18:54:05,2023-02-10 19:33:04,activo
99,1,2,traduccion,doctorado,1.63,Tienda,Pinturas al óleo,2023-05-02 21:49:00,2023-05-03 02:14:00,finalizado
100,1,2,medicina,ingenieria,8.74,Comida,Ensalada de frutas,2023-07-14 11:09:24,2023-07-14 11:09:24,finalizado
101,1,2,derecho,ciencias politicas,21.74,Comida,Pizza 4 quesos,2023-05-17 15:59:59,2023-05-17 16:57:05,espera
